,BGGId,Rating,reducedUsername
0,293981,8.90471561382294,Admiralferret
1,299566,8.746042313736353,Admiralferret
2,336849,8.741045484423497,Admiralferret
3,249277,8.737959492444611,Admiralferret
4,33434,8.677150287665919,Admiralferret
5,228370,8.639659147509802,Admiralferret
6,285853,8.588262956769935,Admiralferret
7,317030,8.560498608416546,Admiralferret
8,302312,8.5599150717224,Admiralferret
9,300217,8.558473632646432,Admiralferret
10,228399,8.551521307000028,Admiralferret
11,317434,8.521090418939007,Admiralferret
12,281257,8.4918869122505,Admiralferret
13,294788,8.472392838230746,Admiralferret
14,345976,8.446147876980277,Admiralferret
15,21358,8.437985968439499,Admiralferret
16,293835,8.416012787915111,Admiralferret
17,214296,8.399505039286906,Admiralferret
18,284121,8.398240293540953,Admiralferret
19,236332,8.397223762164511,Admiralferret
