,BGGId,Rating,reducedUsername
0,293981,9.326293166121115,AKParadox
1,336849,9.059567243350358,AKParadox
2,249277,9.012157861972234,AKParadox
3,228370,8.956494579912604,AKParadox
4,302312,8.940255413406936,AKParadox
5,228399,8.907764787362586,AKParadox
6,299566,8.895329396367766,AKParadox
7,285853,8.892362527954496,AKParadox
8,21358,8.844765298706298,AKParadox
9,33434,8.811944513181626,AKParadox
10,253607,8.808204460014617,AKParadox
11,300217,8.79568076471717,AKParadox
12,317434,8.761618863948328,AKParadox
13,281257,8.758409555900919,AKParadox
14,310100,8.737549913535712,AKParadox
15,173504,8.697627224194697,AKParadox
16,236332,8.692589976611043,AKParadox
17,284121,8.682691173285107,AKParadox
18,317519,8.67838912018137,AKParadox
19,227212,8.676930457119312,AKParadox
