,BGGId,Rating,reducedUsername
0,293981,9.139198190597448,Acerod
1,336849,8.886242724708929,Acerod
2,285853,8.801359393979604,Acerod
3,249277,8.772135762979765,Acerod
4,228370,8.733079909550067,Acerod
5,299566,8.703378927617292,Acerod
6,302312,8.684534450212583,Acerod
7,33434,8.639108271201106,Acerod
8,228399,8.63837689594114,Acerod
9,300217,8.606900434231555,Acerod
10,21358,8.569082826727016,Acerod
11,281257,8.53070923122342,Acerod
12,317519,8.523673579733867,Acerod
13,173504,8.520319266311885,Acerod
14,293835,8.518278403526253,Acerod
15,253607,8.515219610451263,Acerod
16,317434,8.501135780878256,Acerod
17,289247,8.47821097998653,Acerod
18,214296,8.473192998487955,Acerod
19,236332,8.451159253891674,Acerod
