,BGGId,Rating,reducedUsername
0,293981,9.613902445159814,Amber Kraken
1,33434,9.407829385110855,Amber Kraken
2,299566,9.379860214647294,Amber Kraken
3,285853,9.362807935819449,Amber Kraken
4,336849,9.277259999849468,Amber Kraken
5,302312,9.264534702382615,Amber Kraken
6,228399,9.251720760560122,Amber Kraken
7,228370,9.240878613898706,Amber Kraken
8,281257,9.187683548837631,Amber Kraken
9,249277,9.181363225066514,Amber Kraken
10,300217,9.171417150702272,Amber Kraken
11,253607,9.106400551971772,Amber Kraken
12,21358,9.096105837349809,Amber Kraken
13,173504,9.06189145291401,Amber Kraken
14,294788,9.056554642557641,Amber Kraken
15,317434,9.055485231984738,Amber Kraken
16,317519,9.054565616852122,Amber Kraken
17,317030,9.053437219632277,Amber Kraken
18,214296,9.04890749207698,Amber Kraken
19,227212,9.036304842017456,Amber Kraken
