,BGGId,Rating,reducedUsername
0,293981,9.093843805250534,AndyAnoJuice
1,285853,8.848859852357819,AndyAnoJuice
2,249277,8.727944099347217,AndyAnoJuice
3,33434,8.676402056707062,AndyAnoJuice
4,299566,8.666439293584878,AndyAnoJuice
5,228399,8.662682050832451,AndyAnoJuice
6,336849,8.654319006477087,AndyAnoJuice
7,228370,8.633777318336477,AndyAnoJuice
8,302312,8.607834464294012,AndyAnoJuice
9,317434,8.573981050519574,AndyAnoJuice
10,300217,8.525782755426114,AndyAnoJuice
11,289247,8.513235059553736,AndyAnoJuice
12,345976,8.483418740265552,AndyAnoJuice
13,214296,8.481904889035864,AndyAnoJuice
14,281257,8.481790935111084,AndyAnoJuice
15,317519,8.468072400828873,AndyAnoJuice
16,21358,8.456941077862004,AndyAnoJuice
17,284121,8.452218643965033,AndyAnoJuice
18,253607,8.431239097930765,AndyAnoJuice
19,173504,8.426981267216647,AndyAnoJuice
