,BGGId,Rating,reducedUsername
0,293981,8.850667790226794,B Wumpus
1,285853,8.620384806797114,B Wumpus
2,249277,8.585644964517371,B Wumpus
3,228370,8.577159997801765,B Wumpus
4,336849,8.556966264807246,B Wumpus
5,299566,8.439828900965079,B Wumpus
6,33434,8.40561000750483,B Wumpus
7,228399,8.401100218470893,B Wumpus
8,289247,8.393918424081823,B Wumpus
9,317434,8.3886357600518,B Wumpus
10,302312,8.3881074852878,B Wumpus
11,214296,8.354510379102203,B Wumpus
12,317519,8.342588118846765,B Wumpus
13,300217,8.3338194724263,B Wumpus
14,253607,8.324229933151255,B Wumpus
15,21358,8.311025163593106,B Wumpus
16,294788,8.286484835615981,B Wumpus
17,281257,8.275620043794337,B Wumpus
18,284121,8.248983038066847,B Wumpus
19,173504,8.246167649484319,B Wumpus
